City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
0,2020-04-09 13:46:05,US,Hilo,19.73,-155.09,71.6,78,5.06,1
1,2020-04-09 13:48:33,CA,Aklavik,68.22,-135.01,-2.2,84,3.36,75
2,2020-04-09 13:46:06,ZA,Cape Town,-33.93,18.42,82.4,14,11.41,100
3,2020-04-09 13:48:33,CV,São Filipe,14.9,-24.5,80.08,53,14.81,0
4,2020-04-09 13:48:33,LY,Benghazi,32.12,20.07,61.05,53,13.38,0
5,2020-04-09 13:48:33,US,Rock Springs,41.59,-109.2,32.0,28,6.93,1
6,2020-04-09 13:48:33,RE,Saint-Leu,-21.15,55.28,84.2,69,5.82,75
7,2020-04-09 13:48:34,PF,Rikitea,-23.12,-134.97,75.72,71,7.34,100
8,2020-04-09 13:48:34,PG,Kiunga,-6.12,141.29,73.24,97,1.77,100
9,2020-04-09 13:48:34,CN,Moba,33.23,105.02,48.07,48,3.58,100
10,2020-04-09 13:47:47,AU,Hobart,-42.88,147.33,55.4,76,10.29,0
11,2020-04-09 13:48:34,MV,Naifaru,5.44,73.37,85.96,69,4.88,25
12,2020-04-09 13:48:34,CN,Aksu,41.12,80.26,66.7,16,3.22,100
13,2020-04-09 13:48:34,BR,Castro,-24.79,-50.01,73.38,34,2.59,34
14,2020-04-09 13:47:00,NZ,Christchurch,-43.53,172.63,45.0,87,3.36,90
15,2020-04-09 13:48:34,US,Laguna,38.42,-121.42,53.6,87,8.05,90
16,2020-04-09 13:48:34,ZA,Bredasdorp,-34.53,20.04,89.6,27,9.17,99
17,2020-04-09 13:45:10,CA,Thompson,55.74,-97.86,3.2,77,5.82,20
18,2020-04-09 13:48:34,AU,Lakes Entrance,-37.88,147.98,48.99,91,4.97,14
19,2020-04-09 13:48:34,CK,Avarua,-21.21,-159.78,80.6,94,13.87,75
20,2020-04-09 13:48:34,RO,Avram Iancu,46.38,22.78,57.24,34,4.29,11
21,2020-04-09 13:48:35,AU,Codrington,-38.27,141.97,58.82,73,10.47,0
22,2020-04-09 13:48:35,RU,Verkh-Usugli,52.7,115.17,32.81,58,1.95,31
23,2020-04-09 13:48:35,EC,Puerto Ayora,-0.74,-90.35,81.0,88,6.93,75
24,2020-04-09 13:48:35,CA,Goderich,43.75,-81.72,41.0,80,20.87,20
25,2020-04-09 13:48:35,KI,Butaritari,3.07,172.79,83.66,78,11.95,89
26,2020-04-09 13:48:35,PH,Lopez Jaena,10.85,123.43,81.79,77,11.65,27
27,2020-04-09 13:48:35,GL,Upernavik,72.79,-56.15,15.91,84,6.55,0
28,2020-04-09 13:48:35,AR,Ushuaia,-54.8,-68.3,53.6,71,5.99,20
29,2020-04-09 13:48:35,IE,Skibbereen,51.55,-9.27,59.0,67,12.75,75
30,2020-04-09 13:46:56,US,Kapaa,22.08,-159.32,69.8,88,6.93,40
31,2020-04-09 13:48:09,IN,Manthani,18.65,79.67,83.86,48,11.9,24
32,2020-04-09 13:48:35,NZ,Mataura,-46.19,168.86,54.0,88,7.0,93
33,2020-04-09 13:48:35,PT,Ribeira Brava,32.65,-17.07,68.0,88,6.93,40
34,2020-04-09 13:48:36,AU,Yulara,-25.24,130.99,69.8,32,6.93,14
35,2020-04-09 13:48:36,ZA,Plettenberg Bay,-34.05,23.37,71.98,48,6.2,91
36,2020-04-09 13:48:36,ID,Sorong,-0.88,131.25,77.23,86,4.43,2
37,2020-04-09 13:47:46,US,Albany,42.6,-73.97,48.99,81,11.41,90
38,2020-04-09 13:48:36,CA,Iqaluit,63.75,-68.51,8.6,84,12.75,75
39,2020-04-09 13:48:36,RU,Akhtubinsk,48.28,46.17,52.52,44,11.95,10
40,2020-04-09 13:48:37,SO,Bandarbeyla,9.49,50.81,82.33,59,10.92,91
41,2020-04-09 13:47:48,AU,Busselton,-33.65,115.33,66.0,91,3.0,69
42,2020-04-09 13:48:37,BR,Cidreira,-30.18,-50.21,67.37,66,14.14,25
43,2020-04-09 13:48:37,RU,Cherskiy,68.75,161.3,-10.91,89,4.65,100
44,2020-04-09 13:48:37,US,Bethel,41.37,-73.41,51.01,93,5.82,90
45,2020-04-09 13:48:37,JP,Shingū,33.73,135.98,49.69,60,7.2,50
46,2020-04-09 13:48:37,GL,Tasiilaq,65.61,-37.64,28.4,58,13.87,5
47,2020-04-09 13:48:37,NZ,Bluff,-46.6,168.33,54.0,88,7.0,98
48,2020-04-09 13:48:37,US,Jamestown,42.1,-79.24,42.8,70,13.91,90
49,2020-04-09 13:44:48,CA,Yellowknife,62.46,-114.35,19.4,73,19.46,75
50,2020-04-09 13:48:37,PF,Atuona,-9.8,-139.03,81.97,79,13.65,97
51,2020-04-09 13:48:37,MY,George Town,5.41,100.34,84.2,83,4.7,20
52,2020-04-09 13:48:38,FI,Lieksa,63.32,30.02,37.94,74,10.29,68
53,2020-04-09 13:48:38,ZA,Hermanus,-34.42,19.23,79.0,35,4.0,99
54,2020-04-09 13:48:38,US,Sitka,57.05,-135.33,39.2,69,10.29,90
55,2020-04-09 13:48:38,RE,Saint-Philippe,-21.36,55.77,84.2,69,5.82,75
56,2020-04-09 13:44:56,CL,Punta Arenas,-53.15,-70.92,57.2,81,5.82,75
57,2020-04-09 13:48:38,RU,Krasnogorskoye,52.3,86.2,32.5,87,3.15,100
58,2020-04-09 13:48:38,ZA,Kruisfontein,-34.0,24.73,74.71,39,4.45,85
59,2020-04-09 13:46:18,AR,Viedma,-40.81,-63.0,69.58,30,18.12,0
60,2020-04-09 13:45:54,ID,Denpasar,-8.65,115.22,82.4,94,5.82,20
61,2020-04-09 13:48:38,ZA,Port Elizabeth,-33.92,25.57,73.4,64,12.75,63
62,2020-04-09 13:48:38,MU,Bambous Virieux,-20.34,57.76,82.4,74,17.22,75
63,2020-04-09 13:48:39,US,Nānākuli,21.39,-158.15,69.8,100,4.88,40
64,2020-04-09 13:48:39,IS,Hofn,64.25,-15.21,37.69,85,2.42,100
65,2020-04-09 13:45:02,US,Jefferson City,38.58,-92.17,50.0,70,4.7,1
66,2020-04-09 13:48:39,NG,Lagos,6.58,3.75,93.2,56,10.29,75
